"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X","W_in_scans","L_in_scans"
"62","CG","09.07.22",835,"PVB_H_CG","VPG_H_CG","","","","","",TRUE,TRUE
"63","CG","09.07.22",837,"GVP_H_CG","NBP_H_CG","ap.dis[rt]","W","","","",TRUE,TRUE
"64","CG","09.07.22",838,"GVP_H_CG","VPG_H_CG","ht.bg[ha]","W","","","",TRUE,TRUE
"65","CG","09.07.22",902,"PBV_H_CG","PVB_H_CG","","","","","",TRUE,TRUE
"66","CG","09.07.22",906,"BPN_V_CG","PVB_H_CG","","","","","",TRUE,TRUE
"67","CG","09.07.22",907,"GVP_H_CG","PBV_H_CG","","","","","",TRUE,TRUE
"68","CG","09.07.22",909,"PMneck_H_CG","NBP_H_CG","","","","","",TRUE,TRUE
"69","CG","09.07.22",909,"X11","PMneck_H_CG","ap[rt]","W","","","",TRUE,TRUE
"70","CG","09.07.22",909,"X11","PGV_H_CG","ap[rt]","W","","","",TRUE,TRUE
"71","CG","09.07.22",912,"GPG_H_CG","VPG_H_CG","","","","","",TRUE,TRUE
"72","CG","09.07.22",911,"X11","PGM_H_CG","","","","","",TRUE,TRUE
"73","CG","09.07.22",913,"PGP_H_CG","NBP_H_CG","","","","","",TRUE,TRUE
"74","CG","09.07.22",914,"GVP_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"75","CG","09.07.22",914,"GVP_H_CG","PVB_H_CG","","","","","",TRUE,TRUE
"76","CG","09.07.22",915,"GVP_H_CG","PGM_H_CG","","","","","",TRUE,TRUE
"77","CG","09.07.22",922,"GVP_H_CG","PBG_H_CG","ht.bt[ha]","W","","","",TRUE,TRUE
"78","CG","09.07.22",922,"GVP_H_CG","PMneck_H_CG","","","","","",TRUE,TRUE
"79","CG","09.07.22",922,"PBV_H_CG","PVB_H_CG","","","","","",TRUE,TRUE
"80","CG","09.07.22",926,"PMneck_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"81","CG","09.07.22",926,"PMneck_H_CG","VPG_H_CG","","","","","",TRUE,TRUE
"82","CG","09.07.22",928,"X35","PMneck_H_CG","st[ha]","","","","",TRUE,TRUE
"83","CG","09.07.22",928,"PBV_H_CG","GPG_H_CG","ap[rt]","W","","","",TRUE,TRUE
"84","CG","09.07.22",929,"PGM_H_CG","PVG_H_CG","ap[rt]","W","","","",TRUE,TRUE
"85","CG","09.07.22",931,"PBV_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"86","CG","09.07.22",932,"PGM_H_CG","PVG_H_CG","ht.bt[ha]","W","","","",TRUE,TRUE
"87","CG","09.07.22",937,"PMneck_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"88","CG","09.07.22",937,"PMneck_H_CG","NBP_H_CG","fa[fo]","W","","","",TRUE,TRUE
"89","CG","09.07.22",944,"BPN_V_CG","GPN_H_CG","","","","","",TRUE,TRUE
"90","CG","09.07.22",945,"PGP_H_CG","GPN_H_CG","ap[ha]ap[ha]","W","","","",TRUE,TRUE
"91","CG","09.07.22",948,"PGM_H_CG","GPN_H_CG","","","","","",TRUE,TRUE
"92","CG","09.07.22",948,"GVP_H_CG","PVG_H_CG","","","","","",TRUE,TRUE
"93","CG","09.07.22",949,"PMneck_H_CG","GPN_H_CG","","","","","",TRUE,TRUE
"94","CG","09.07.22",949,"GVP_H_CG","GPN_H_CG","","","","","",TRUE,TRUE
"95","CG","09.07.22",951,"PGM_H_CG","PVP_H_CG","","","","","",TRUE,TRUE
"96","CG","09.07.22",952,"PGM_H_CG","PMneck_H_CG","ap[rt]","W","","","",TRUE,TRUE
"97","CG","09.07.22",954,"PGM_H_CG","PGP_H_CG","ap[rt]","W","","","",TRUE,TRUE
"98","CG","09.07.22",956,"PBV_H_CG","PVP_H_CG","","","","","",TRUE,TRUE
"99","CG","09.07.22",1000,"PBV_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"100","CG","09.07.22",1000,"PBV_H_CG","PVP_H_CG","","","","","",TRUE,TRUE
"101","CG","09.07.22",1003,"PVP_H_CG","PMneck_H_CG","ht.bg[ha]","W","","","",TRUE,TRUE
"102","CG","09.07.22",1006,"PBV_H_CG","NPG_H_CG","ap[ha]","W","","","",TRUE,TRUE
"103","CG","09.07.22",1007,"PBV_H_CG","NPG_H_CG","ap[ha]","W","","","",TRUE,TRUE
"104","CG","09.07.22",1026,"NPG_H_CG","PGP_H_CG","","","","","",TRUE,TRUE
"105","CG","09.07.22",1027,"PBV_H_CG","NPG_H_CG","ht.bt[ha]","W","","","",TRUE,TRUE
"106","CG","09.07.22",1027,"PBV_H_CG","PBG_H_CG","","","","","",TRUE,TRUE
"107","CG","09.07.22",1027,"PBV_H_CG","NPG_H_CG","rt[ha]","","","","",TRUE,TRUE
"108","CG","09.07.22",1030,"PGM_H_CG","PGP_H_CG","ap[rt]ap[rt]ap[rt]","W","","","",TRUE,TRUE
"109","CG","09.07.22",1030,"PGM_H_CG","BPN_V_CG","","","","","",TRUE,TRUE
"110","BG","09.07.22",1316,"VON_V_BG","NVB_V_BG","","","","","",TRUE,TRUE
