Kinship_ID,Social_ID,Sample_No,Site_Tagged,Area,Roost_Membership,Roost_Latitude,Roost_Longitude,Age,Sex
BGB_H_SP,BGB_H_SP,S111,SP,South,SP,-34.22422,-150.992,NA,M
OTV_V_SP,OTV_V_SP,S119,SP,South,SP,-34.22422,-150.992,J,F
PBG_V_SP,PBG_V_SP,S151,SP,South,SP,-34.22422,-150.992,A,M
GBV_H_HE,GBV_H_HE,S159,HE,South,HE,-34.17571,150.9947,A,F
OGV2_V_SP,OGV2_V_SP,NA,SP,South,SP,-34.22422,-150.992,A,M
PTN_V_SP,PTN_V_SP,S120,SP,South,SP,-34.22422,-150.992,A,F
TNB_H_NU,TNB_H_NU,S177,NU,West,NU,-33.76551,150.8596,NA,M
TMN_H_NU,TMN_H_NU,S170,NU,West,NU,-33.76551,150.8596,A,F
TNM_H_NU,TNM_H_NU,S171,NU,West,NU,-33.76551,150.8596,NA,F
BNV_H_NU,BNV_H_NU,S172,NU,West,NU,-33.76551,150.8596,A,F
UK1_NU,UK1_NU,S173,NU,West,NU,-33.76551,150.8596,NA,F
UK3_NU,UK3_NU,S175,NU,West,NU,-33.76551,150.8596,NA,M
UK4_NU,UK4_NU,S176,NU,West,NU,-33.76551,150.8596,NA,M
PNP_H_NU,PNP_H_NU,S168,NU,West,NU,-33.76551,150.8596,NA,M
VNT_V_WO,VNT_V_WO,S13,WO,Shire,WO,-34.02786,151.0474,M,A
TGM_H_NU,TGM_H_NU,S169,NU,West,NU,-33.76551,150.8596,U,M
OMG_H_NU,OMG_H_NU,S179,NU,West,NU,-33.76551,150.8596,A,M
OGV2_V_SP,OGV2_V_SP,S104,SP,South,SP,-34.22422,-150.992,A,M
OPB_V_BA,OPB_V_BA,S264,BA,North,NB,-33.81661,151.2221,A,M
BTN_V_SP,BTN_V_SP,S112,SP,South,SP,-34.22422,-150.992,F,U
