Location,Date,Time,Winner,Loser,Behaviour,Initiator,Comments,Preening,
CG,09.07.22,937,PMneck_H_CG,NBP_H_CG,fa[fo],W,,,
CG,09.07.22,944,BPN_H_CG,GPN_H_CG,,,,,
CG,09.07.22,945,PGP_H_CG,GPN_H_CG,ap[ha]ap[ha],W,,,
CG,09.07.22,948,PGM_H_CG,GPN_H_CG,,,,,
CG,09.07.22,948,GVP_H_CG,PVG_H_CG,,,,,
CG,09.07.22,949,PMneck_H_CG,GPN_H_CG,,,,,
CG,09.07.22,949,GVP_H_CG,GPN_H_CG,,,,,
CG,09.07.22,951,PGM_H_CG,PVP_H_CG,,,,,
CG,09.07.22,952,PGM_H_CG,PMneck_H_CG,ap[rt],W,,,
CG,09.07.22,954,PGM_H_CG,PGP_H_CG,ap[rt],W,,,
CG,09.07.22,956,PBV_H_CG,PVP_H_CG,,,,,
CG,09.07.22,1000,PBV_H_CG,PGP_H_CG,,,,,
CG,09.07.22,1000,PBV_H_CG,PVP_H_CG,,,,,
CG,09.07.22,1003,PVP_H_CG,PMneck_H_CG,ht.bg[ha],W,,,
CG,09.07.22,1006,PBV_H_CG,NPG_H_CG,ap[ha],W,,,
CG,09.07.22,1007,PBV_H_CG,NPG_H_CG,ap[ha],W,,,
CG,09.07.22,1026,NPG_H_CG,PGP_H_CG,,,,,
CG,09.07.22,1027,PBV_H_CG,NPG_H_CG,ht.bt[ha],W,,,
CG,09.07.22,1027,PBV_H_CG,PBG_H_CG,,,,,
CG,09.07.22,1027,PBV_H_CG,NPG_H_CG,rt[ha],,,,
CG,09.07.22,1030,PGM_H_CG,PGP_H_CG,ap[rt]ap[rt]ap[rt],W,,,
CG,09.07.22,1030,PGM_H_CG,BPN_H_CG,,,,,
BG,09.07.22,1316,VON_H_BG,NVB_H_BG,,,,,
BG,09.07.22,1317,NVB_V_BG,BVO_H_BG,,,,,
BG,09.07.22,1317,OMG_V_BG,VON_V_BG,bg[rt],,,,
BG,09.07.22,1317,OMG_V_BG,VON_V_BG,ap.bg[rt],,,,
BG,09.07.22,1317,VON_V_BG,NOM_V_BG,ap.dis[rt],W,,,
BG,09.07.22,1317,BVO_V_BG,NVB_V_BG,ap.dis[rt],W,,,
BG,09.07.22,1319,BOV_V_BG,VBV_V_BG,,,,,
BG,09.07.22,1320,BOV_V_BG,VGN_V_BG,ap.dis[rt],W,,,
BG,09.07.22,1321,NVB_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1321,OMG_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1322,VNB_V_BG,VGN_V_BG,ap[voc.rt],W,,,
BG,09.07.22,1325,NVB_V_BG,BN_V_BG,,,,,
BG,09.07.22,1326,VON_V_BG,BVO_V_BG,,,,,
BG,09.07.22,1327,VON_V_BG,GBM_V_BG,,,,,
BG,09.07.22,1328,NVB_V_BG,OM_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1328,NVB_V_BG,OM_V_BG,ap[rt],W,,,
BG,09.07.22,1329,GBV_V_BG,OB_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1330,GBV_V_BG,OB_V_BG,bg[ha],,,,
BG,09.07.22,1331,GNV_V_BG,OB_V_BG,,,,,
BG,09.07.22,1331,OBMO_V_BG,GNV_V_BG,ap.bg[bg.ha],W,,,
BG,09.07.22,1332,VON_V_BG,OB_V_BG,ap.st[rt],W,,,
BG,09.07.22,1332,VON_V_BG,OB_V_BG,ap[ha],W,,,
BG,09.07.22,1337,VON_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1338,VON_V_BG,GBO_V_BG,ap.bi[voc.rt],W,,,
BG,09.07.22,1339,VON_V_BG,OM_V_BG,,,,,
BG,09.07.22,1341,OBMO_V_BG,OB_V_BG,bg[rt],,,,
BG,09.07.22,1341,OBMO_V_BG,VON_V_BG,bg[rt],,,,
BG,09.07.22,1341,VON_V_BG,GNV_V_BG,ap.bg[voc.ha],W,redirect ?,,
BG,09.07.22,1341,OBMO_V_BG,OB_V_BG,,,,,
BG,09.07.22,1342,OBMO_V_BG,GBV_V_BG,ap.dis[rt],W,,,
BG,09.07.22,1342,OBMO_V_BG,GBV_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1343,VON_V_BG,GBV_V_BG,ap.bitail[tt.bg.voc]bg[fo],W,,,
BG,09.07.22,1345,MB_V_BG,OB_V_BG,,,,,
BG,09.07.22,1345,MB_V_BG,OB_V_BG,ap[ha],W,,,
BG,09.07.22,1346,MB_V_BG,OB_V_BG,,,,,
BG,09.07.22,1347,MB_V_BG,OB_V_BG,ap.bg[ha],W,,,
BG,09.07.22,1348,MB_V_BG,OB_V_BG,bg[voc.ha],,,,
BG,09.07.22,1348,MB_V_BG,GNV_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1403,143,bWt,,,,,
BG,09.07.22,1404,bWt,48,,,,,
BG,09.07.22,1405,bWt,BVO_V_BG,bg[ht],,,,
BG,09.07.22,1405,MB_V_G,BOGV_V_BG,fo<1bdl,,,,
BG,09.07.22,1408,BOGV_V_BG,VGV_V_BG,,,,,
BG,09.07.22,1411,OGMV_V_BG,BOGV_V_BG,ap[ig]ap.bg[voc.ha],W,,,
BG,09.07.22,1411,BOGV_V_BG,bWt,,,,,
BG,09.07.22,1412,MB_V_BG,BVO_V_BG,,,,,
BG,09.07.22,1412,MB_V_BG,VGV_V_BG,,,,,
BG,09.07.22,1413,GMB_V_BG,48,,,,,
BG,09.07.22,1414,OGMV_V_BG,VGV_V_BG,fo<1bdl,,,,
BG,09.07.22,1414,BOGV_V_BG,bWt,,,,,
BG,09.07.22,1415,VGV_V_BG,bWt,,,,,
BG,09.07.22,1417,BOGV_V_BG,VGV_V_BG,,,,,
BG,09.07.22,1417,BOGV_V_BG,VGV_V_BG,,,,,
BG,09.07.22,1418,GMB_V_BG,VGV_V_BG,tt[rt],W,,,
BG,09.07.22,1419,BOGV_V_BG,48,ht.bg[ha],W,,,
BG,09.07.22,1419,BOGV_V_BG,48,ap.dis[rt],W,,,
BG,09.07.22,1423,VGV_V_BG,bWt,,,,,
BG,09.07.22,1423,VGV_V_BG,bWt,,,.,,
BG,09.07.22,1423,VGV_V_BG,bWt,jo.bi[voc.ha],W,,,
BG,09.07.22,1424,VNM_V_BG,143,,,,,
BG,09.07.22,1430,VNM_V_BG,bWt,[ap]bg[voc.ha],L,,,
BG,09.07.22,1433,VNM_V_BG,143,,,,,
BG,09.07.22,1449,ONO_V_BG,bWt,,,,,
BG,09.07.22,1449,OVG_V_BG,52,ap[rt],W,,,
BG,09.07.22,1449,ONO_V_BG,bWt,ap[rt],W,,,
BG,09.07.22,1450,OVG_V_BG,BON_V_BG,fo<1bdl,,,,
BG,09.07.22,1453,bWt,BON_V_BG,,,,,
BG,09.07.22,1454,OBV_V_BG,GPB_V_BG,,,,,
BG,09.07.22,1455,MG_V_BG,BOGV_V_BG,,,,,
BG,09.07.22,1456,0_V_BG,MG_V_BG,,,,,
